NO;JENIS;IMPORTER;BRAND;MODEL;CC;TRANS;FUEL;TANK;GVW;GEAR RATIO;WHEEL & TYRE SIZE;PS/HP;WHEEL BASE;DIMENSION;SEATER;DRIVE SYS;DRIVE SYS2;SPEED;DOOR;WHEELS;CBU/CKD/COMP;ORIGIN COUNTRY;JANUARY;FEBRUARY;MARCH;APRIL;MAY;JUNE
1;CBU IMPORT;PT. HONDA PROSPECT MOTOR;HONDA;ALL NEW CITY;1500;CVT;G;40;-;-;16 x 6J;120;2600;4442 x 1694 x 1477;-;4X2;FF;-;4;4;CBU;Thailand;-;-;-;-;-;-
2;CBU IMPORT;PT. HONDA PROSPECT MOTOR;HONDA;ALL NEW CIVIC;1500;CVT;G;0;-;-;-;-;-;-;-;0;-;-;-;-;CBU;Thailand;-;-;-;-;-;-
3;CBU IMPORT;PT. HONDA PROSPECT MOTOR;HONDA;NEW CIVIC;1,5;CVT;HYBRID;0;-;-;-;-;-;-;-;0;-;-;-;-;CBU;Thailand;-;-;-;-;30;60
4;CBU IMPORT;PT. HONDA PROSPECT MOTOR;HONDA;CIVIC TYPE R;2000;MT;G;0;-;-;-;-;-;-;-;4X2;-;-;5;4;CBU;UK;-;-;1;-;-;-
5;CBU IMPORT;PT. HONDA PROSPECT MOTOR;HONDA;New ACCORD VTi-L;1500;CVT;G;56;1560;-;-;190;2830;4894 x 1862 x 1450;-;4X2;FF;-;4;4;CBU;Thailand;-;-;-;-;-;-
6;CBU IMPORT;PT. HONDA PROSPECT MOTOR;HONDA;New ACCORD HEV;2000;CVT;HYBRID;-;-;-;-;207;2830;4962 x 1862 x 1449;-;4X2;FF;-;4;4;CBU;Thailand;-;-;-;-;-;-
7;CBU IMPORT;PT. HONDA PROSPECT MOTOR;HONDA;E:N1;0;CVT;BEV;0;-;-;-;204;2610;4380 X 1790 X 1592;-;4X2;-;-;4;4;CBU;China;-;-;60;-;-;60
8;CBU IMPORT;PT. HONDA PROSPECT MOTOR;HONDA;All New CR-V 1.5 T;1500;CVT;G;0;-;-;19 x 7,5J;190;2701;4691 x 1866 x 1681;-;4X2;FF;-;5;4;CBU;-;30;30;30;-;90;-
9;CBU IMPORT;PT. HONDA PROSPECT MOTOR;HONDA;All New CR-V 2.0 e:HEV;2000;CVT;HYBRID;58;-;-;18 x 7,5J;155;2660;4586 x 1855 x 1679;-;4X2;FF;-;5;4;CBU;-;-;-;-;-;90;-
10;CBU IMPORT;PT. TOYOTA ASTRA MOTOR;TOYOTA;Vios 1.5 G Cvt Fmc;1496;CVT;G;40;1080;5;205/50 R17;109 / 6000;2620;4410X1740X1480;5;4X2;FF;5;4;4;CBU;Thailand;17;27;2;1;21;3
11;CBU IMPORT;PT. TOYOTA ASTRA MOTOR;TOYOTA;All New Corolla Altis 1.8 V AT 2023;1798;AT;G;50;1270;5;225/45 R17;151 / 6400;2700;4630X1780X1435;5;4X2;FF;6;4;4;CBU;Thailand;-;1;2;3;7;4
12;CBU IMPORT;PT. TOYOTA ASTRA MOTOR;TOYOTA;All New Corolla Altis 1.8 Hev Cvt 2023;1798;CVT;HYBRID;43;1270;5;225/45 R17;151 / 6400;2700;4630X1780X1455;5;4X2;FF;6;4;4;CBU;Thailand;-;1;1;1;4;6
13;CBU IMPORT;PT. TOYOTA ASTRA MOTOR;TOYOTA;Prius 1.8 Hev 2023;1798;CVT;HYBRID;45;1420;3267;195/65 R15;73 / 5200;2700;4460X1745X1480;5;4X2;FF;5;4;4;CBU;Japan;-;-;-;-;-;-
14;CBU IMPORT;PT. TOYOTA ASTRA MOTOR;TOYOTA;All New Camry 2.5 V 2021;2494;AT;G;70;1465;3815;235/45 R17;181 / 6000;2775;4885X1840X1445;5;4X2;FF;5;4;4;CBU;Thailand;-;1;-;-;-;-
15;CBU IMPORT;PT. TOYOTA ASTRA MOTOR;TOYOTA;All New Camry 2.5 Hev 2021;2494;AT;HYBRID;70;1465;3815;235/45 R17;181 / 6000;2775;4885X1840X1445;5;4X2;FF;5;4;4;CBU;Thailand;-;5;8;25;40;24
16;CBU IMPORT;PT. TOYOTA ASTRA MOTOR;TOYOTA;GR 86 AT;2387;AT;G;50;-;-;215/40 R18;147 / 6.800;2575;4265X1775X1310;5;4X2;RR;6;4;4;CBU;Japan;-;1;-;-;-;1
